MILESTONE / GROUP,TASK UTAMA,PIC (Dropdown),DEADLINE,STATUS (Dropdown),LOGBOOK HARIAN & OUTPUT (Senin-Jumat)
M1: PREPARATION (W06),API Contract & Scope Definition,Farchan,03-Mar-26,To Do,"• D26 (Senin, 2 Mar): Freeze scope MVP dan audit backlog backend. (Out: Scope final)  • D27 (Selasa, 3 Mar): Finalisasi API Contract v1 (auth, events, reports). (Out: Dokumen API)"
M1: PREPARATION (W06),ERD & Sprint Planning W07,Farchan,06-Mar-26,To Do,"• D28 (Rabu, 4 Mar): Finalisasi ERD relasi user-event-report-point. (Out: ERD final revisi)  • D29 (Kamis, 5 Mar): Tetapkan acceptance criteria sprint 1. (Out: DoD backend)  • D30 (Jumat, 6 Mar): Kunci risk register dan sprint planning W07. (Out: Sprint backlog)"
M1: PREPARATION (W06),UI Audit & Component Mapping,Ikram,04-Mar-26,To Do,"• D26 (Senin, 2 Mar): Audit screen Figma dan mapping modul ke FE. (Out: Screen map final)  • D27 (Selasa, 3 Mar): Finalisasi design token + setup struktur repo FE. (Out: FE baseline)  • D28 (Rabu, 4 Mar): Sinkron wireframe akhir ke struktur komponen FE. (Out: Component map)"
M1: PREPARATION (W06),Setup Repo & App Shell,Ikram,06-Mar-26,To Do,"• D29 (Kamis, 5 Mar): Implement route skeleton + app shell. (Out: App shell berjalan)  • D30 (Jumat, 6 Mar): Final review readiness UI/FE sprint 1. (Out: Checklist readiness)"
M2: AUTH SYSTEM (W07),"API Login, Register & Session",Farchan,10-Mar-26,To Do,"• D31 (Senin, 9 Mar): Implement validasi login/register. (Out: Validation rules)  • D32 (Selasa, 10 Mar): Implement session + role guard backend. (Out: Session/auth aktif)"
M2: AUTH SYSTEM (W07),RBAC & Error Handling Auth,Farchan,13-Mar-26,To Do,"• D33 (Rabu, 11 Mar): Implement mapping permission per role. (Out: RBAC map)  • D34 (Kamis, 12 Mar): Standarisasi error auth (401/403/429). (Out: Error JSON konsisten)  • D35 (Jumat, 13 Mar): Retest endpoint auth end-to-end. (Out: Auth API stabil)"
M2: AUTH SYSTEM (W07),Slicing UI & Integrasi Login,Ikram,10-Mar-26,To Do,"• D31 (Senin, 9 Mar): Slicing login/register page. (Out: UI auth siap)  • D32 (Selasa, 10 Mar): Integrasi API auth + token storage. (Out: Login flow jalan)"
M2: AUTH SYSTEM (W07),Role Routing & Handling FE,Ikram,13-Mar-26,To Do,"• D33 (Rabu, 11 Mar): Dynamic menu by role. (Out: Role-based nav aktif)  • D34 (Kamis, 12 Mar): Error handling FE untuk auth. (Out: Handling state stabil)  • D35 (Jumat, 13 Mar): Polish auth flow + catat defect FE. (Out: Auth FE stabil)"
M3: EVENT MODULE (W08),API Create & Edit Draft Event,Farchan,17-Mar-26,To Do,"• D36 (Senin, 16 Mar): Validasi rule create event. (Out: Rule event valid)  • D37 (Selasa, 17 Mar): Endpoint create/edit draft. (Out: API draft aktif)"
M3: EVENT MODULE (W08),Logic Approval & Publish API,Farchan,20-Mar-26,To Do,"• D38 (Rabu, 18 Mar): Logic approval/reject event. (Out: Status transition benar)  • D39 (Kamis, 19 Mar): Validasi gate publish sesuai status. (Out: Publish gate valid)  • D40 (Jumat, 20 Mar): Uji E2E draft -> publish. (Out: Event API stabil)"
M3: EVENT MODULE (W08),UI Form Event & List Draft,Ikram,17-Mar-26,To Do,"• D36 (Senin, 16 Mar): Form create event + validasi. (Out: Form event siap)  • D37 (Selasa, 17 Mar): List draft event moderator. (Out: Table draft tampil)"
M3: EVENT MODULE (W08),UI Approval Flow & Status,Ikram,20-Mar-26,To Do,"• D38 (Rabu, 18 Mar): Integrasi action approve/reject FE. (Out: Action FE aktif)  • D39 (Kamis, 19 Mar): Update badge status event. (Out: Status visual konsisten)  • D40 (Jumat, 20 Mar): Retest flow event dashboard FE. (Out: Event flow FE sinkron)"
M4: PARTICIPATION (W09),API Join & History Partisipasi,Farchan,24-Mar-26,To Do,"• D41 (Senin, 23 Mar): Logic join (cek kuota/status). (Out: Join logic aman)  • D42 (Selasa, 24 Mar): Endpoint riwayat partisipasi. (Out: History API)"
M4: PARTICIPATION (W09),API Complete & Attendance,Farchan,27-Mar-26,To Do,"• D43 (Rabu, 25 Mar): Logic complete event + absensi. (Out: Complete rule valid)  • D44 (Kamis, 26 Mar): Validasi checklist attendance. (Out: Attendance rule valid)  • D45 (Jumat, 27 Mar): Retest domain participation. (Out: Participation API stabil)"
M4: PARTICIPATION (W09),UI Button Join & History User,Ikram,24-Mar-26,To Do,"• D41 (Senin, 23 Mar): Tombol join dinamis. (Out: Button logic jalan)  • D42 (Selasa, 24 Mar): Halaman event saya/history. (Out: History page aktif)"
M4: PARTICIPATION (W09),UI Checklist & Complete Action,Ikram,27-Mar-26,To Do,"• D43 (Rabu, 25 Mar): CTA complete khusus KSH. (Out: Complete action FE)  • D44 (Kamis, 26 Mar): UI checklist attendance. (Out: Attendance UI sinkron)  • D45 (Jumat, 27 Mar): Patch bug participation FE. (Out: Participation FE stabil)"
